"AGE","AGE_less_than_35","AGE_35_44","AGE_45_54","AGE_55_64","AGE_65_74","AGE_75_plus","HHSEX","RACE_white_non_hispanic","RACE_black_african_american","RACE_hispanic","RACE_other","EDCL_no_HS","EDCL_HS_GED","EDCL_some_college","EDCL_college_degree","LF","ASSET","FIN","CHECKING","SAVING","CALL","STOCKS","HSTOCKS","THRIFT","IRAKH","DEBT","SAVED","INCOME","NWCAT","NETWORTH","YESFINRISK","NOFINRISK","SAVRES1","SAVRES2","SAVRES3","SAVRES4","SAVRES5","SAVRES6","SAVRES7","SAVRES8","KNOWL_not_knowledgeable","KNOWL_no_knowledge","KNOWL_somewhat_knowledgeable","KNOWL_very_knowledgeable","FINLIT_0","FINLIT_1","FINLIT_2","FINLIT_3","OCCAT2_managerial_professional","OCCAT2_technical_sales_services","OCCAT2_other_manual_labor","OCCAT2_not_working"
70,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,957100,258100,6700,6400,0,0,0,0,245000,195000,1,38804.734469,4,762100,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
70,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1067300,184300,4200,3100,0,0,0,0,177000,213000,1,38264.278557,4,854300,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
70,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,957200,175200,3200,0,0,0,0,0,170000,279000,1,36102.45491,4,678200,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
70,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,828600,93600,2600,49000,0,0,0,0,42000,549000,1,33508.266533,3,279600,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
70,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,825600,34600,1800,5800,0,0,0,0,27000,223000,1,35561.998998,3,602600,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1240500,140500,5500,35000,0,0,0,0,100000,518700,1,224829.65932,4,721800,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1242500,142500,7500,35000,0,0,0,0,100000,518700,1,224829.65932,4,723800,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1241100,141100,6100,35000,0,0,0,0,100000,519700,1,224829.65932,4,721400,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1244000,144000,9000,35000,0,0,0,0,100000,519700,1,224829.65932,4,724300,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
46,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,1241300,142300,7300,35000,0,0,0,0,100000,518700,1,224829.65932,4,722600,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0
68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,61177590,60492890,1880,3310,0,59680000,1,0,459000,17580000,1,445335.67134,5,43597590,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,61291510,60671480,1870,1410,0,59670000,1,0,650000,16840000,1,461549.3487,5,44451510,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,62086890,60765290,1880,1110,0,59680000,1,0,696000,21030000,1,469115.73146,5,41056890,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,62720180,60477480,1870,8910,0,59680000,1,0,438000,17990000,1,444254.75952,5,44730180,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
68,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,62430180,60230280,1870,6410,0,59670000,1,0,203000,18690000,1,502623.998,5,43740180,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2203000,2163000,14000,150000,0,0,0,0,1499000,0,1,152408.56713,5,2203000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2006000,1966000,15000,150000,0,0,0,0,1506000,0,1,149165.83166,5,2006000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2e+06,1960000,15000,150000,0,0,0,0,1500000,0,1,145923.09619,5,2e+06,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2354000,2314000,14000,150000,0,0,0,0,1500000,0,1,145923.09619,5,2354000,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
74,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2e+06,1960000,15000,150000,0,0,0,0,1500000,0,1,144842.18437,5,2e+06,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1
